account_id,account_name,account_manager,priority,region,planning_period,plan_created,plan_sent,sent_date,plan_received,received_date,review_status,feedback_returned,feedback_returned_date,final_approval,approval_date,next_action,next_action_owner,due_date,blocker,last_updated,data_notice
ACC-013,Timberline Solutions,Chloe Bennett,Medium,North America,Q3 2026,2026-07-01,Yes,2026-07-03,Yes,2026-07-10,Under Review,No,,No,,Continue internal review,Chloe Bennett,2026-08-30,No,2026-07-10,Synthetic portfolio data - no real company information
ACC-014,Pinegate Industries,Andre Silva,High,EMEA,Q3 2026,2026-07-02,Yes,2026-07-04,Yes,2026-07-12,Under Review,No,,No,,Continue internal review,Andre Silva,2026-09-05,No,2026-07-12,Synthetic portfolio data - no real company information
ACC-015,Crestwood Fictional Co,Mei Lin,Low,APAC,Q3 2026,2026-07-05,Yes,2026-07-08,Yes,2026-07-15,Under Review,No,,No,,Continue internal review,Mei Lin,2026-09-12,No,2026-07-15,Synthetic portfolio data - no real company information
ACC-016,Lumen Path Group,Jordan Blake,Medium,LATAM,Q3 2026,2026-07-06,Yes,2026-07-09,Yes,2026-07-16,Under Review,No,,No,,Continue internal review,Jordan Blake,2026-09-18,No,2026-07-16,Synthetic portfolio data - no real company information
ACC-017,Ironbridge Holdings,Dana Whitfield,High,North America,Q3 2026,2026-07-08,Yes,2026-07-10,Yes,2026-07-18,Under Review,No,,No,,Continue internal review,Dana Whitfield,2026-09-22,No,2026-07-18,Synthetic portfolio data - no real company information
ACC-018,Fernwood Systems,Marcus Cole,Low,EMEA,Q3 2026,2026-07-09,Yes,2026-07-11,Yes,2026-07-19,Under Review,No,,No,,Continue internal review,Marcus Cole,2026-09-25,No,2026-07-19,Synthetic portfolio data - no real company information
ACC-019,Brookstone Partners,Priya Anand,Medium,APAC,Q3 2026,2026-07-10,Yes,2026-07-13,Yes,2026-07-20,Under Review,No,,No,,Continue internal review,Priya Anand,2026-09-28,No,2026-07-20,Synthetic portfolio data - no real company information
ACC-020,Willowmere Group,Liam Foster,High,LATAM,Q3 2026,2026-07-01,Yes,2026-07-04,Yes,2026-07-11,Under Review,No,,No,,Proceed with internal approval review,Liam Foster,2026-08-28,No,2026-07-25,Synthetic portfolio data - no real company information
ACC-021,Granite Peak Fictional,Elena Cruz,High,North America,Q3 2026,2026-06-20,Yes,2026-06-25,Yes,2026-07-01,Revision Required,No,,No,,Request updated feedback on revision,Elena Cruz,2026-08-15,No,2026-07-05,Synthetic portfolio data - no real company information
ACC-022,Everline Industries,Tomás Rivera,Medium,EMEA,Q3 2026,2026-06-22,Yes,2026-06-28,Yes,2026-07-03,Revision Required,Yes,2026-07-20,No,,Continue internal review,Tomás Rivera,2026-08-18,No,2026-07-20,Synthetic portfolio data - no real company information
ACC-023,Stonebrook Holdings,Grace Kim,Low,APAC,Q3 2026,2026-06-25,Yes,2026-06-30,Yes,2026-07-05,Revision Required,No,,No,,Request updated feedback on revision,Grace Kim,2026-08-22,No,2026-07-10,Synthetic portfolio data - no real company information
ACC-024,Maple Ridge Group,Samuel Osei,High,LATAM,Q3 2026,2026-06-18,Yes,2026-06-22,Yes,2026-06-28,Revision Required,No,,No,,Escalate to account owner - due date passed,Samuel Osei,2026-07-30,No,2026-07-02,Synthetic portfolio data - no real company information
ACC-025,Skyline Fictional Corp,Nadia Petrov,Medium,North America,Q3 2026,2026-07-01,Yes,2026-07-05,Yes,2026-07-12,Revision Required,Yes,2026-07-25,No,,Continue internal review,Nadia Petrov,2026-08-29,No,2026-07-25,Synthetic portfolio data - no real company information
ACC-026,Riverton Partners,Owen Chen,Low,EMEA,Q3 2026,2026-07-03,Yes,2026-07-06,Yes,2026-07-14,Revision Required,No,,No,,Request updated feedback on revision,Owen Chen,2026-09-02,No,2026-07-18,Synthetic portfolio data - no real company information
ACC-027,Hollowcrest Industries,Isabella Rossi,High,APAC,Q3 2026,2026-06-28,Yes,2026-07-01,Yes,2026-07-06,Revision Required,No,,No,,Request updated feedback on revision,Isabella Rossi,2026-08-06,No,2026-07-12,Synthetic portfolio data - no real company information
ACC-028,Oakhaven Group,Ravi Kapoor,Medium,LATAM,Q3 2026,2026-06-10,Yes,2026-06-14,Yes,2026-06-20,Approved,Yes,2026-06-25,Yes,2026-06-30,No action needed,Ravi Kapoor,2026-07-15,No,2026-06-30,Synthetic portfolio data - no real company information
ACC-029,Westfall Fictional Co,Chloe Bennett,High,North America,Q3 2026,2026-06-12,Yes,2026-06-16,Yes,2026-06-22,Approved,Yes,2026-06-27,Yes,2026-07-02,No action needed,Chloe Bennett,2026-07-20,No,2026-07-02,Synthetic portfolio data - no real company information
ACC-030,Northgate Holdings,Andre Silva,Low,EMEA,Q3 2026,2026-06-14,Yes,2026-06-18,Yes,2026-06-24,Approved,Yes,2026-06-29,Yes,2026-07-04,No action needed,Andre Silva,2026-07-25,No,2026-07-04,Synthetic portfolio data - no real company information
ACC-031,Clearwater Ventures,Mei Lin,Medium,APAC,Q3 2026,2026-06-16,Yes,2026-06-20,Yes,2026-06-26,Approved,Yes,2026-07-01,Yes,2026-07-06,No action needed,Mei Lin,2026-07-28,No,2026-07-06,Synthetic portfolio data - no real company information
ACC-032,Redstone Fictional Group,Jordan Blake,High,LATAM,Q3 2026,2026-06-18,Yes,2026-06-22,Yes,2026-06-28,Approved,Yes,2026-07-03,Yes,2026-07-08,No action needed,Jordan Blake,2026-07-30,No,2026-07-08,Synthetic portfolio data - no real company information
ACC-033,Highmoor Industries,Dana Whitfield,Medium,North America,Q3 2026,2026-06-20,Yes,2026-06-24,Yes,2026-06-30,Approved,Yes,2026-07-05,Yes,2026-07-10,No action needed,Dana Whitfield,2026-08-01,No,2026-07-10,Synthetic portfolio data - no real company information
ACC-034,Sundale Partners,Marcus Cole,Low,EMEA,Q3 2026,2026-06-22,Yes,2026-06-26,Yes,2026-07-02,Approved,Yes,2026-07-07,Yes,2026-07-12,No action needed,Marcus Cole,2026-08-03,No,2026-07-12,Synthetic portfolio data - no real company information
ACC-035,Wrenfield Holdings,Priya Anand,High,APAC,Q3 2026,2026-07-01,Yes,2026-07-03,Yes,2026-07-08,Blocked,No,,No,,Escalate and resolve blocking dependency,Priya Anand,2026-08-12,Yes,2026-07-20,Synthetic portfolio data - no real company information
ACC-036,Thistledown Group,Liam Foster,Medium,LATAM,Q3 2026,2026-07-02,Yes,2026-07-05,Yes,2026-07-11,Blocked,No,,No,,Escalate and resolve blocking dependency,Liam Foster,2026-08-14,Yes,2026-07-22,Synthetic portfolio data - no real company information
ACC-037,Marrow Peak Fictional,Elena Cruz,Low,North America,Q3 2026,2026-07-03,Yes,2026-07-06,Yes,2026-07-12,Blocked,No,,No,,Escalate and resolve blocking dependency,Elena Cruz,2026-08-16,Yes,2026-07-24,Synthetic portfolio data - no real company information
ACC-038,Brightfern Industries,Tomás Rivera,High,EMEA,Q3 2026,2026-06-28,Yes,2026-07-01,Yes,2026-07-06,Blocked,No,,No,,Escalate and resolve blocking dependency,Tomás Rivera,2026-07-28,Yes,2026-07-26,Synthetic portfolio data - no real company information
ACC-039,Copperline Holdings,Grace Kim,Medium,APAC,Q3 2026,2026-06-30,Yes,2026-07-02,Yes,2026-07-09,Blocked,Yes,2026-07-15,No,,Escalate and resolve blocking dependency,Grace Kim,2026-08-10,Yes,2026-07-28,Synthetic portfolio data - no real company information
ACC-040,Fictional Vale Group,Samuel Osei,Low,LATAM,Q3 2026,2026-07-01,Yes,2026-07-04,Yes,2026-07-10,Blocked,No,,No,,Escalate and resolve blocking dependency,Samuel Osei,2026-08-18,Yes,2026-07-30,Synthetic portfolio data - no real company information
