Publisher,Account Manager,Priority,Calendar Period,Calendar Created?,Calendar Owner,Plan Ownership,Plan Sent?,Sent Date,Plan Received?,Received Date,Review Status,Feedback Returned Date,Uploaded to Tracking Tool?,Tracking Tool Upload Date,Tracking Tool Status,Blocker?,Due Date,Notes,Data Notice
Everline Industries,Tomás Rivera,Medium,FY26 Q3,Yes,Jordan Hale,Partner-led,Sent,2026-06-28,Received,2026-07-03,Revision Requested,2026-07-20,No,,,No,2026-08-18,Feedback received; incorporating changes,Synthetic portfolio data - no real company information
Stonebrook Holdings,Grace Kim,Low,FY26 Q3,Yes,Riley Shaw,Internal-led,Sent,2026-06-30,Received,2026-07-05,Revision Requested,,No,,,No,2026-08-22,,Synthetic portfolio data - no real company information
Maple Ridge Group,Samuel Osei,High,FY26 Q3,Yes,Sam Ortiz,Partner-led,Sent,2026-06-22,Received,2026-06-28,Revision Requested,,No,,,No,2026-07-30,,Synthetic portfolio data - no real company information
Skyline Fictional Corp,Nadia Petrov,Medium,FY26 Q3,Yes,Casey Lund,Internal-led,Sent,2026-07-05,Received,2026-07-12,Revision Requested,2026-07-25,No,,,No,2026-08-29,,Synthetic portfolio data - no real company information
Riverton Partners,Owen Chen,Low,FY26 Q3,Yes,Morgan Reyes,Partner-led,Sent,2026-07-06,Received,2026-07-14,Revision Requested,,No,,,No,2026-09-02,,Synthetic portfolio data - no real company information
Hollowcrest Industries,Isabella Rossi,High,FY26 Q3,Yes,Avery Stone,Internal-led,Sent,2026-07-01,Received,2026-07-06,Revision Requested,,No,,,No,2026-08-06,,Synthetic portfolio data - no real company information
Oakhaven Group,Ravi Kapoor,Medium,FY26 Q3,Yes,Reese Carter,Partner-led,Sent,2026-06-14,Received,2026-06-20,Approved,2026-06-25,Yes,2026-06-30,Live,No,2026-07-15,Live in tracking tool,Synthetic portfolio data - no real company information
Westfall Fictional Co,Chloe Bennett,High,FY26 Q3,Yes,Quinn Ellis,Internal-led,Sent,2026-06-16,Received,2026-06-22,Approved,2026-06-27,Yes,2026-07-02,Live,No,2026-07-20,Live in tracking tool,Synthetic portfolio data - no real company information
Northgate Holdings,Andre Silva,Low,FY26 Q3,Yes,Drew Sawyer,Partner-led,Sent,2026-06-18,Received,2026-06-24,Approved,2026-06-29,Yes,2026-07-04,Ready to Push,No,2026-07-25,,Synthetic portfolio data - no real company information
Clearwater Ventures,Mei Lin,Medium,FY26 Q3,Yes,Taylor Brooks,Internal-led,Sent,2026-06-20,Received,2026-06-26,Approved,2026-07-01,Yes,2026-07-06,Ready to Push,No,2026-07-28,,Synthetic portfolio data - no real company information
Redstone Fictional Group,Jordan Blake,High,FY26 Q3,Yes,Jordan Hale,Partner-led,Sent,2026-06-22,Received,2026-06-28,Approved,2026-07-03,Yes,2026-07-08,Ready to Push,No,2026-07-30,,Synthetic portfolio data - no real company information
Highmoor Industries,Dana Whitfield,Medium,FY26 Q3,Yes,Riley Shaw,Internal-led,Sent,2026-06-24,Received,2026-06-30,Approved,2026-07-05,Yes,2026-07-10,Ready to Push,No,2026-08-01,,Synthetic portfolio data - no real company information
Sundale Partners,Marcus Cole,Low,FY26 Q3,Yes,Sam Ortiz,Partner-led,Sent,2026-06-26,Received,2026-07-02,Approved,2026-07-07,Yes,2026-07-12,Ready to Push,No,2026-08-03,,Synthetic portfolio data - no real company information
Wrenfield Holdings,Priya Anand,High,FY26 Q3,Yes,Casey Lund,Internal-led,Sent,2026-07-03,Received,2026-07-08,Blocked,,No,,,Yes,2026-08-12,Blocked pending legal sign-off,Synthetic portfolio data - no real company information
Thistledown Group,Liam Foster,Medium,FY26 Q3,Yes,Morgan Reyes,Partner-led,Sent,2026-07-05,Received,2026-07-11,Blocked,,No,,,Yes,2026-08-14,,Synthetic portfolio data - no real company information
Marrow Peak Fictional,Elena Cruz,Low,FY26 Q3,Yes,Avery Stone,Internal-led,Sent,2026-07-06,Received,2026-07-12,Blocked,,No,,,Yes,2026-08-16,,Synthetic portfolio data - no real company information
Brightfern Industries,Tomás Rivera,High,FY26 Q3,Yes,Reese Carter,Partner-led,Sent,2026-07-01,Received,2026-07-06,Blocked,,No,,,Yes,2026-07-28,,Synthetic portfolio data - no real company information
Copperline Holdings,Grace Kim,Medium,FY26 Q3,Yes,Quinn Ellis,Internal-led,Sent,2026-07-02,Received,2026-07-09,Blocked,2026-07-15,No,,,Yes,2026-08-10,Blocker partially resolved; feedback received,Synthetic portfolio data - no real company information
Fictional Vale Group,Samuel Osei,Low,FY26 Q3,Yes,Drew Sawyer,Partner-led,Sent,2026-07-04,Received,2026-07-10,Blocked,,No,,,Yes,2026-08-18,,Synthetic portfolio data - no real company information
